vber vnd ob das in gleichen oren die mit dyen löchern\n
durch stochen ſynd ſy noch anderſter magen die in rin\ngen hangen vnd diſe wiſſe vnd ſteten ſi allein der manne/\n
Den die frouwen verſtechen vnen ſelbe ir antlitz nit alſo\n
mit löcherung den allein die oren/ Ein ander iſt vnd\n
weyſe iſt ouch vnd die by dien magd vnd die by den\n
die alle menſchliche glaubung/ Das ir frouwen die eben\n
geluſtig vnd geiltrig ſynd vnd iren mannen machen\n
das iren ir ſich geſcholen tollicher vnd irer frouwen\n
das ſy vngeſtat vnd meſchlich erkhumen vnd ſy nit\n
mit etwas ſind ſy vngeſchickt die griſſigen ſtichen/\n
Und von ſolchen ſach geſchicht das ier vnd ſy\n
verlieren die iren vnd machet vnd der aringe ſule\n
vnd bilden ou gemeech/ Haben teyn vnd noch teyn\n
vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
ſeyn vnd haben teyn eygen gut/ Sunder als die vnd ir\n
