line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,geile vn̄ begirig ſind/ ſo legten ſy alle zucht vnd ſcham vō,geile vn̄ Begirig find/ ſo legten ſy alle zucht vn̄ ſcham vō,0.05,0.3333333333333333,0.3333333333333333,7474193,mistral
2,in zuͦ volbringung boͤſer dingen/ Sy leben wol hundertt,in ſi volbringung boͤſer dingen/ ſy leben wol hundertt,0.07272727272727272,0.2222222222222222,0.2222222222222222,7474193,mistral
3,vn̄ fünffzig iar vnd werden ſelten kranck/ Und ob ſy et¬,vn̄ funffſig iar vn̄ werden ſelten kranck/ Vnd ob ſy et/,0.08928571428571429,0.36363636363636365,0.36363636363636365,7474193,mistral
4,wen in kranckheit fallen ſo heilen ſy ſich ſelbs mit ettlithē,wen in kranckheit fallen ſo heilen ſy ſich ſelbs mit ettlichē,0.01639344262295082,0.09090909090909091,0.09090909090909091,7474193,mistral
5,wurtzen der kreüter/ Diß ſind die fürmercklichſten ding,wurtzen der kreüter/ Diß find die fürmercklichſten ding,0.01818181818181818,0.125,0.125,7474193,mistral
6,die ich by innen geſehen vnd erkant hab/ Der lufft iſt an,Die ich by innen geſehen vn̄ erkannt hab/ Der luft iſt an,0.07017543859649122,0.3333333333333333,0.3333333333333333,7474193,mistral
7,dem ende gar geſund vnd wol temperieret vn̄ guͦt/ Und,dem ende gar geſund vn̄ wol temperieret vn̄ guͤt/ Vnd,0.05660377358490566,0.3,0.3,7474193,mistral
8,ſo vil ich vß yrem ſagē verſton kond vnd erkennen mocht,ſo vil ich vß yrem ſage verſton kond vn̄ erkennen mocht,0.03636363636363636,0.18181818181818182,0.18181818181818182,7474193,mistral
9,ſo iſt an dem ende nyemer keyn peſtlentz oder eyniche ſie,ſo iſt an dem ende nyemer keyn peſtlentz oder eyniche ſie,0.0,0.0,0.0,7474193,mistral
10,chung die von boͤſem lufft kumpt/ Und wo ſy nit vō fre¬,e chung die von boͤſem luft kumpt/ Vnd wo ſy nit vo frē,0.12727272727272726,0.4166666666666667,0.4166666666666667,7474193,mistral
11,felem getzwungenē tod ſterben ſo leben ſy by langē zyten,elem geſchwungenē tod ſterben ſo leben ſy by lange ſyten,0.10714285714285714,0.4,0.4,7474193,mistral
12,Ich mein das an dē ende alzeit die mittegigē wynd weyē,Ich mein das an de ende alzeit die mittegige wynd weyē,0.037037037037037035,0.18181818181818182,0.18181818181818182,7474193,mistral
