line_number,ground_truth,prediction,cer,wer,bwer
1,2.,,1.0,1.0,1.0
2,Of Matrimonial Desertion.,of Matrimonial Desertion.,0.04,0.3333333333333333,0.3333333333333333
3,It will be necessary to define what shall be deemed,It will be necessary to define what shall be deemed,0.0,0.0,0.0
4,Desertion  distinguishing it from the case of lawful Absence;,Desertion  distinguishing it from the case of lawful Absence ,0.01639344262295082,0.1111111111111111,0.1111111111111111
5,and what steps shall be taken for giving notice.,and what steps shall be taken for giving Notice.,0.020833333333333332,0.1111111111111111,0.1111111111111111
6,Let certain methods be established whereby the Husband,Let certain methods be established whereby the Husband,0.0,0.0,0.0
7,and the Wife may be enabled and obliged to correspond with,and the Wife may be enabled and obliged to correspond with.,0.017241379310344827,0.09090909090909091,0.09090909090909091
8,one another at stated intervals: and let a failure on either part,one another at stated intervals: and let a failure on either part,0.0,0.0,0.0
9,for a certain time be deemed presumptive evidence of death or,for a certain time be deemed presumptive evidence of death or,0.0,0.0,0.0
10,desertion. Within the dominions of the state they  might be manag=,desertion. Within the dominions of the state they might be managed,0.045454545454545456,0.09090909090909091,0.09090909090909091
11,=ed in the manner mentioned in the Book of Procedure. Tit.,ed in the manner mentioned in the Book of Procedure. Th,0.06896551724137931,0.18181818181818182,0.18181818181818182
12,As to foreigners  upon their coming into the country,As to Foreigners  upon their coming into the country,0.019230769230769232,0.1111111111111111,0.1111111111111111
13,let them be obliged to declare upon oath whether they are married,let them be obliged to declare upon oath whether  they are married,0.015384615384615385,0.08333333333333333,0.08333333333333333
14,or single; and if single whether Bachelors or Spinsters  Widowers,or single  and if single whether Bachelors or Spinsters  Widowers,0.015384615384615385,0.1,0.1
15,or Widows. Of these declarations let Registers be kept  of which ,or Widows. Of these declarations let Registers be kept  of which,0.015384615384615385,0.09090909090909091,0.09090909090909091
16,previous to their being married  copies should be required to be,previous to their being married  copies should be required to be,0.0,0.0,0.0
17,produced. If married  certificates of the death of the Wife or,produced. If married  certificates of the death of the Wife or,0.0,0.0,0.0
18,Husband. At present these important enquiries are left to the,Husband. At present these important enquiries are left to the,0.0,0.0,0.0
19,uncertain prudence of individuals. The declarations above men=,uncertain prudence of individuals. The declarations above men,0.016129032258064516,0.125,0.125
20,:tioned should be accompanied with some details respecting their,tioned should be accompanied with some details respecting their,0.015625,0.1111111111111111,0.1111111111111111
21,in,in,0.0,0.0,0.0
22,birth  parentage and last abode; such as may lead to detection,birth  parentage and last abode  such as may lead to detection,0.016129032258064516,0.09090909090909091,0.09090909090909091
23,this,This,0.25,1.0,1.0
24,C,,1.0,1.0,1.0
