geile vn̄ begirig ſind/ ſo legten ſy alle zucht vn̄ ſcham vō
in ſi vollbringung böſer dingen/ Sy leben wol hundert vn̄
vin̄fzig iar vnd werden selten trancſ/ Und ob ſy et
wen in trancheit fallen ſo helen ſy ſich ſelbs mit etlichē
wurzen der kreutter/ Suſ ſind die ſumerlichſten ding
die ich by inen geſehen vn̄ erkant hab/ Der luft ſi in
dem ende gar geſund vn̄ vol empteyere vñ gut/ Und
ſo vil ich vñ yrem ſage verſtond kon vñ erlernen mochte
ſo iſt an dem ende nyemer teyer vñ vol empteyere ge
chung die von böſem luſt trunpt/ Vnd wo ſy nit vñ fre
ſelem geſewingene koſten ſo leben ſy by yrem eigen
Ich mein das an de ende aleſit die mittertey vñ nye
vnd woad allemeſt den vnderſten vñ vordern vñ vordern
ſo iſt wol vñ be mitterrechtig vñ recht Aquilo/ Sy
ſind ſtiff vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
ſo ſy ſich vñ vich vñ vich vñ vichſtahen/ Vnd daſelb
