line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,nie geſehen oder beſchryben ſynd wil ich harnach ſagen/,"nie gesehen oder beschryben synd wil ich harnach sagen,",0.09090909090909091,0.4444444444444444,0.4444444444444444,7474190,transkribus
2,Darumb am erſten der lütten halb/ So haben wir in dy,Dat umb am ersten der lütten halb/ So haben wir in dy,0.057692307692307696,0.2727272727272727,0.2727272727272727,7474190,transkribus
3,ſen landen vnd region funden ſo vil vn̄ ſo groſſe der voͤl¬,sen landen vnd region funden so vil vn̄ so grosse der vol¬,0.1016949152542373,0.4166666666666667,0.4166666666666667,7474190,transkribus
4,cker/ ſcharen vnd lüt/ das die nyeman erzellen moͤcht als,cker/ scharen vnd lut/ das die nyeman erzellen mocht als,0.05263157894736842,0.3,0.3,7474190,transkribus
5,man lißt im Apocalipſi/ Eyn volck ſag ich eyn milt guͤtig,man lißt im Aprilipsi / Eyn volck sag ich eyn milt guͤtig,0.10526315789473684,0.2727272727272727,0.2727272727272727,7474190,transkribus
6,vnd hantwiſyg vnd gand alle nackend beyde weyb vnd,vnd hantwisyg vnd gand alle nackend beyde weyb vnd,0.02,0.1111111111111111,0.1111111111111111,7474190,transkribus
7,man/ vnd gantz on bedeckung ir lyben an allen enden vn̄,man/ vnd gantz on bedeckung ir lyben an allen enden vn̄,0.0,0.0,0.0,7474190,transkribus
8,wie Sy vß muͦter lyb kommen alſo gand ſy biß das ſy ge,wie Sy vß muͤter lyb kommen also gand sy biß das sy ge,0.07407407407407407,0.3076923076923077,0.3076923076923077,7474190,transkribus
9,ſterben/ Den̄ ſy ſind groß von lyb vierſchretig wol geſchi,sterben / Senn sy sind groß von lyb vierschretig wol geschi,0.13793103448275862,0.7,0.7,7474190,transkribus
10,ckt/ guͦter ſchoͤnen lidmaß vnd geferbt etlicher maß gegē,ckt/ güter schönen lidmaß vnd geferbt etlicher maß gegen,0.12280701754385964,0.3333333333333333,0.3333333333333333,7474190,transkribus
11,rotem/ Das ich meyn ienen von der vrſach kommen das,rotem / Das ich meyn ienen von der vrsach kommen das,0.0392156862745098,0.3,0.3,7474190,transkribus
12,ſy nackend gand vnd von der ſonnen beſcheynen alſo ge¬,sy nackend gand vnd von der sonnen bescheynen also ge¬,0.07407407407407407,0.4,0.4,7474190,transkribus
13,ferbt werden/ Sy haben ouch wyt vnd groß harlock vn̄,ferbt werden. Sy haben ouch wyt vnd groß harlock vn̄,0.019230769230769232,0.1,0.1,7474190,transkribus
14,ſchwartz/ Sy ſind mit irem gang vnd mit ſpyl tribē det¬,schwartz/ Sy sind mit item gang vnd mit spyl triben det¬,0.10909090909090909,0.45454545454545453,0.45454545454545453,7474190,transkribus
15,tig vnd bering vnd guͤttiger ſchonen anlitten/ Die ſy do,tig vnd bering vnd guttiger schonen anlitten/ Sie sy do,0.07142857142857142,0.4,0.4,7474190,transkribus
16,ch inen ſelbs heßlich machen vnd vngeſtalt/ Den̄ ſy borē,ch inen selbst heßlich machen vnd vngestalt/ Denen sy borem,0.14285714285714285,0.5,0.5,7474190,transkribus
