line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,nie geſehen oder beſchryben ſynd wil ich harnach ſagen/,nie gesehen oder beschryben ſynd wil ich harnach ſagen/ \n,0.09090909090909091,0.3333333333333333,0.3333333333333333,7474190,openai
2,Darumb am erſten der lütten halb/ So haben wir in dy,Dat umb am erſten der lütten halb/ So haben wir in dy \n,0.09615384615384616,0.2727272727272727,0.2727272727272727,7474190,openai
3,ſen landen vnd region funden ſo vil vn̄ ſo groſſe der voͤl¬,ſen landen vn̄ region funden ſo vil vn̄ ſo groſſe der vol¬ \n,0.0847457627118644,0.25,0.25,7474190,openai
4,cker/ ſcharen vnd lüt/ das die nyeman erzellen moͤcht als,cker/ ſcharen vn̄ lut/ das die nyeman erzellen mocht als \n,0.10526315789473684,0.4,0.4,7474190,openai
5,man lißt im Apocalipſi/ Eyn volck ſag ich eyn milt guͤtig,man lißt im Apocalipſi / Eyn volck ſag ich eyn milt guͤtig \n,0.07017543859649122,0.2727272727272727,0.2727272727272727,7474190,openai
6,vnd hantwiſyg vnd gand alle nackend beyde weyb vnd,vn̄ hantwiſyg vn̄ gand alle nackend beyde weyb vn̄ \n,0.12,0.4444444444444444,0.4444444444444444,7474190,openai
7,man/ vnd gantz on bedeckung ir lyben an allen enden vn̄,man/ vn̄ gantz on bedeckung ir lyben an allen enden vn̄ \n,0.07272727272727272,0.18181818181818182,0.18181818181818182,7474190,openai
8,wie Sy vß muͦter lyb kommen alſo gand ſy biß das ſy ge,wie ſy vß muͤter lyb kommen alſo gand ſy biß das ſy ge \n,0.09259259259259259,0.23076923076923078,0.23076923076923078,7474190,openai
9,ſterben/ Den̄ ſy ſind groß von lyb vierſchretig wol geſchi,ſterben / Senn ſy ſind groß von lyb vierſchretig wol geſchi \n,0.10344827586206896,0.4,0.4,7474190,openai
10,ckt/ guͦter ſchoͤnen lidmaß vnd geferbt etlicher maß gegē,ckt/ güter ſchönen lidmaß vn̄ geferbt etlicher maß gegen \n,0.17543859649122806,0.5555555555555556,0.5555555555555556,7474190,openai
11,rotem/ Das ich meyn ienen von der vrſach kommen das,rotem / Das ich meyn ienen von der vrsach kommen das \n,0.09803921568627451,0.4,0.4,7474190,openai
12,ſy nackend gand vnd von der ſonnen beſcheynen alſo ge¬,ſy nackend gand vn̄ von der ſonnen beſcheynen alſo ge¬ \n,0.07407407407407407,0.2,0.2,7474190,openai
13,ferbt werden/ Sy haben ouch wyt vnd groß harlock vn̄,ferbt werden. ſy haben ouch wyt vn̄ groß harlock vn̄ \n,0.11538461538461539,0.4,0.4,7474190,openai
14,ſchwartz/ Sy ſind mit irem gang vnd mit ſpyl tribē det¬,ſchwartz/ ſy ſind mit item gang vn̄ mit ſpyl triben det¬ \n,0.14545454545454545,0.45454545454545453,0.45454545454545453,7474190,openai
15,tig vnd bering vnd guͤttiger ſchonen anlitten/ Die ſy do,tig vn̄ bering vn̄ guttiger ſchonen anlitten/ ſie ſy do \n,0.125,0.5,0.5,7474190,openai
16,ch inen ſelbs heßlich machen vnd vngeſtalt/ Den̄ ſy borē,ch inen ſelbst heßlich machen vn̄ vngeſtalt/ Denen ſy borem \n,0.16071428571428573,0.5,0.5,7474190,openai
17,inen ſelbs loͤcher in die backen die muntlefftzen vn̄ die na¬,inen ſelbs löcher in die backen die muntlefftzen vn die na¬ \n,0.09836065573770492,0.2727272727272727,0.2727272727272727,7474190,openai
18,ſen vnd die oren/ Du ſolt ouch nit gedencken das ſoliche,ſen vn̄ die oren / Du ſolt ouch nit gedencken das ſoliche \n,0.08928571428571429,0.36363636363636365,0.36363636363636365,7474190,openai
19,loͤcher kleyn ſyen oder ſy eins alleyn haben den̄ ich etlich,loͤcher kleyn ſyn oder ſy eins alleyn haben den ich etlich \n,0.08333333333333333,0.2727272727272727,0.2727272727272727,7474190,openai
20,geſehen hab die in iren anlitten alleyn Syben loͤcher der,geſehen hab die in iren anlitten alleyn ſyben loͤcher der \n,0.07017543859649122,0.2,0.2,7474190,openai
21,yegliches ſo groß was das eyn kriechen wol in eyns gan,yegliches ſo groß was das eyn kriechen wol in eyns gan \n,0.05555555555555555,0.09090909090909091,0.09090909090909091,7474190,openai
22,moͤchte/ Sy verſtoſſen inen ſelbs ſoliche loͤcher mit blawē,mochte. ſy verſtoſſen inen ſelbs ſoliche löcher mit blawe \n,0.15254237288135594,0.5555555555555556,0.5555555555555556,7474190,openai
23,ſteynen/ Criſtallen/ Marmor vnd alabaſter/ gar hübſch,ſteynen / Criſtallen / Marmor vn̄ alabaster / gar hübſch \n,0.1509433962264151,1.1428571428571428,1.1428571428571428,7474190,openai
24,vnd ſchon vnd mit wiſſem gebein vnd mit andern̄ dingē,vn̄ ſchon vn̄ nit wiſſem gebein vn̄ mit andern̄ dingen \n,0.16981132075471697,0.6,0.6,7474190,openai
25,ſo mit künſten vnd koſtlich mit arbeyt gemacht werden,ſo mit künſten vn̄ koſtlich mit arbeyt gemacht werden \n,0.07547169811320754,0.2222222222222222,0.2222222222222222,7474190,openai
26,nach ir gewonheyt vnd gebruch/ Und ob du alſo ſeheſt,nach ir gewonheyt vn̄ gebruch / und ob du alſo ſehest \n,0.1346153846153846,0.6,0.6,7474190,openai
27,eyn ſo frembd vngewon ding groſſem ſeltzemen wunder,eyn ſo frembd vngewon ding groſſem ſeltzemen wunder \n,0.058823529411764705,0.125,0.125,7474190,openai
28,gliche/ Nemlich eynen menſchē der da hatt in den back,gliche Nemlich eynen menſche der da hatt in den Back \n,0.11320754716981132,0.4,0.4,7474190,openai
29,ken alleyn vnnd in den lefftzen Syben ſteyn dera ettlich,ren alleyn vnnd in den lefftzen ſyben ſteyn dera ettlich \n,0.08928571428571429,0.3,0.3,7474190,openai
30,in der lenge eyner halben ſpann du wurdeſt nit on groß,in der lenge eyner halben ſpann du wurdeſt nit on groß \n,0.05555555555555555,0.09090909090909091,0.09090909090909091,7474190,openai
