line_number,ground_truth,prediction,transkribus,cer,wer,bwer
1,geile vn̄ begirig ſind/ ſo legten ſy alle zucht vnd ſcham vō,geile vn begirig sind / so legten sy alle zucht vnd scham vō,geile vn begirig sind/ so legten sy alle zucht vnd scham von,0.1,0.5833333333333334,0.5833333333333334
2,in zuͦ volbringung boͤſer dingen/ Sy leben wol hundertt,in zů volbungung böͤser dingen / Sy leben wol hundertt,in zuͤ volbungung boͤser dingen/ Sy leben wol hundertt,0.12727272727272726,0.5555555555555556,0.5555555555555556
3,vn̄ fünffzig iar vnd werden ſelten kranck/ Und ob ſy et¬,vn fvnffzig iar vnd werden selten kranck/ Vnd ob sy et,vn funffzig iar vnd werden selten kranck/ End ob sy et¬,0.10714285714285714,0.5454545454545454,0.5454545454545454
4,wen in kranckheit fallen ſo heilen ſy ſich ſelbs mit ettlithē,Ōn fůmpſey ſy die ſelbſ ſo ſie fallen ſo heilen ſy ſich ſelbſ mit ettlithen,wen in kranckheit fallen so heilen sy sich selbst mit ettlithen,0.45901639344262296,0.8181818181818182,0.8181818181818182
5,wurtzen der kreüter/ Diß ſind die fürmercklichſten ding,wurtzen der kreͤv̄ter / Diß sind die füͤrmercklichsten dinḡ,wurtzen der kreüter  Diß sind die fürmercklichsten dinge,0.14545454545454545,0.625,0.625
6,die ich by innen geſehen vnd erkant hab/ Der lufft iſt an,die ich By innen gesehen vnd erkannt hab / Der lufft ist an,die ich by innen gesehen vnd erkant hab / der lufft ist an,0.08771929824561403,0.5,0.5
7,dem ende gar geſund vnd wol temperieret vn̄ guͦt/ Und,Dem ende gar gesund vnd wol temperieret vn̄ guͤt /,dem ende gar gesund vnd wol temperieret vn̄ guͤt / End,0.1320754716981132,0.4,0.4
8,ſo vil ich vß yrem ſagē verſton kond vnd erkennen mocht,so vil ich vſ yrem ſage verſton ſond vnd erſennen mocht,so vil ich vß yrem sagen verston kond vnd erkennen mocht,0.09090909090909091,0.45454545454545453,0.45454545454545453
9,ſo iſt an dem ende nyemer keyn peſtlentz oder eyniche ſie,so ist an dem ende nyemer ꝛeyn pestlentz oder eyniche siē,so ist an dem ende nyemer keyn pestlentz oder eyniche sie,0.10526315789473684,0.45454545454545453,0.45454545454545453
10,chung die von boͤſem lufft kumpt/ Und wo ſy nit vō fre¬,chvng die von Bõsem lufft kumpṫ / Vnd wo sy nit vō fre,chung die von bösem lufft kumpt / And wo sy nit vo fre¬,0.18181818181818182,0.6666666666666666,0.6666666666666666
11,felem getzwungenē tod ſterben ſo leben ſy by langē zyten,felem getzwungene tod sterben so leben sy by lange zyten,felem getzwungenen tod sterben so leben sy by langen zyten,0.08928571428571429,0.5,0.5
12,Ich mein das an dē ende alzeit die mittegigē wynd weyē,Ich mein das an de ende alzeit die mittegige wynd weyſ,Ich mein das an de ende alzeit die mittegigen wynd weyende,0.05555555555555555,0.2727272727272727,0.2727272727272727
13,vnd vorab allermeyſt den wir nennen etwan der inen al¬,vnd voras allermeyst den wir nennẽn etwan der inen al¬,vnd voraß allermeyst den wir nennen etwan der inen al¬,0.05555555555555555,0.3,0.3
14,ſo iſt wie vnß der mittenechtig wind genāt. Aquilo / Sy,so ist wie vnß der mittenechtig wind genant. Aquilo/ Sʒ,so ist wie vnß der mittenechtig wind genant. Aquilo / Sve,0.10909090909090909,0.5454545454545454,0.5454545454545454
15,ſind künſtrich mit viſchen vnd viſchfahen/ Und daſſelb,nd künstrich mit vischen vnd vischfahen / Vnd dasselb,sind künstrich mit vischen vnd vischfahen  Vnd dasselb,0.16666666666666666,0.875,0.875
16,mer iſt voͤllig vnd von vil viſchen vnnd von allen vnd al¬,mer ist voͤllig vnd von vil vischen vnnd von allen vnd al,mer ist völlig vnd von vil vischen vnnd von allen vnd al,0.05172413793103448,0.25,0.25
