line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,It glucklicher fart Am vier,Ir glucklicher fart Flm v̄ber,0.18518518518518517,0.6,0.6,7474186,mistral
2,zehenden tag des monats Mayen/ Tu¬,zehenden tag des monats Mayen / Tͦus,0.08823529411764706,0.5,0.5,7474186,mistral
3,ſent fünffhūdert eyn Iars/ ſchieden wir,fünfhundert eyn Jars/ schieden wir,0.2564102564102564,0.6666666666666666,0.6666666666666666,7474186,mistral
4,von Oliſpppo nach gebott des obgenan¬,von Olisippo nach gebott des obgenan~,0.08108108108108109,0.3333333333333333,0.3333333333333333,7474186,mistral
5,ten künigs mit dryen ſchiffen zuͦ erſuͦchē,ten küniges mit dryen schiffen zu ersúche,0.16666666666666666,0.5714285714285714,0.5714285714285714,7474186,mistral
6,nuwe land gegen Auſter/ vnd tzweintzig,,1.0,1.0,1.0,7474186,mistral
7,Monet on vnderlaß fuͦren wir gegen mittag der ſelben,Anuwe land gegen ẜuster / vnd tzweintzig,0.8076923076923077,1.0,0.8888888888888888,7474186,mistral
8,ſchiffung. vnd fart ordnung vnd wiſe iſt alſo/ Diſe ſchif,Monet on vnderlaß füren wir gegen mittag der selben,0.7719298245614035,1.0,1.0,7474186,mistral
9,fung iſt geweſen durch die fortunaten Inſalen/ vor ziten,chiffung.vnd fart ordnung vnd wise ist also/ Dise schif,0.8214285714285714,1.0,1.0,7474186,mistral
10,alſo genant/ Aber zuͦ dyſen werden ſy genant die inſulen,fung ist gewesen durch die fortunaten Insalen/ vor ziten,0.7857142857142857,1.0,0.9,7474186,mistral
11,magne canarie/ der groſſen Canarie/ die da ſindt im drit,also genant/ Aber zů dysen werden sy genant die insulen,0.7321428571428571,1.0,0.9,7474186,mistral
12,ten Clima der ſibenfaltigē vßteilung der welt vnd am an,magne canarie / der grossen Canarie / die da sindt im drit,0.8363636363636363,1.1,1.1,7474186,mistral
13,ſtoß vnd gegē der wonhafftigē landen der ſonnē nyder¬,ten Clima der sibenfaltige vſteilung der welt vnd am an,0.7547169811320755,1.0,0.7777777777777778,7474186,mistral
14,gangs/ Dannen durch das groß mer Occeanū dē gātzē,stoß vnd gege der wonhafftige landen der sonne nyder,0.9183673469387755,1.0,1.0,7474186,mistral
15,ſtaden affricum vn̄ eyn teil der Moͤren lands durchren̄t,gangs/ S̄annen durch das groͤs mer Occeani de gaͤtzē,0.8214285714285714,1.0,1.0,7474186,mistral
16,biß zuͦ den hochbergen der Moren ſo alſo von Ptolomeo,Staden affricum. vn eyn teil der Moͤren lands durchrent,0.8301886792452831,1.0,0.9,7474186,mistral
17,genēpt wirt/ Das zuͦ dißen zeitē von den vnſern dz grün̄,Biß zů den hochbergen der Moren so also von Ptolomes,0.8214285714285714,1.0,0.8181818181818182,7474186,mistral
18,houpt genempt wirt/ vn̄ von den Morē beſeglitte/ vnd,geſept wirt / Das zu diſſen zeite von den vnsern dz grüͤn,0.8269230769230769,1.1111111111111112,1.1111111111111112,7474186,mistral
19,die ſelbe lantſchafft Mandinglia vierzehē gradus innert,houpt genempt wirt/vn von den Wore beseglitte/vnd,0.8545454545454545,1.0,1.0,7474186,mistral
20,der krummen ſchnuͦr genāt Torrida zona/ von der lyniē,Die selbe lantschafft Mandingalia vierzehe gradus innert,0.8679245283018868,1.0,1.0,7474186,mistral
21,equinoctiali gegen Mitternacht die von ſchwartzen lü¬,der krummen schnuͤr genaͤt Torridazona von der lynne,0.8301886792452831,1.0,1.0,7474186,mistral
22,ten vnd voͤlckern bewōt wirt/ da ſelbs nach raſtung vn̄,equinoctiali gegen Mitternacht die von schwartzen liͬ,0.7818181818181819,1.0,1.0,7474186,mistral
23,widerlabung vnſer krafft vnnd nottürfftiger dingen zuͦ,ten vnd völckern Bewſt wirt/da ſelbs nach raſtung vn̄,0.8518518518518519,1.2857142857142858,1.2857142857142858,7474186,mistral
24,vnſer ſchiffung/ huͦben wir die encker vff vn̄ zertan̄tē die,widerlassing vnser krafft vnnd notturftiger dingen zu,0.7666666666666667,1.0,1.0,7474186,mistral
25,ſegel in winde vnd in vnſern weg durch das allerwildeſt,w̄nser schifͤffung/huͤben wir die encker vff von zertante die,0.8909090909090909,1.0,1.0,7474186,mistral
26,groß mere Occeanum/ vnd fuͦrē gegen dem wider sibēge,regel in winde vnd in vn̄sern weg durch das allerwildest,0.8269230769230769,1.0,1.0,7474186,mistral
27,ſtirn gen Ancarticies/ ein wenig gegē der Sonnē nyder,gross mere Occeanum/vnd füre gegen dem wider sʒege,0.7547169811320755,1.0,1.0,7474186,mistral
28,gang wandten wir durch den wynd genant vulturnus,stirn gen Ancarticiēs/ ein wenig gege der Sonne nyder,0.8541666666666666,1.125,1.125,7474186,mistral
29,vnd von dem tag als wir abſchieden von dē gemelten ho,gang wandten wir durch den wynd genant vulturnus,0.6792452830188679,0.9090909090909091,0.9090909090909091,7474186,mistral
30,chgebürg zwen Monet vn̄ drig tag ſchyfften wir ee das,vnd von dem tag als wir abschieden von de gemelten ho,0.8490566037735849,1.1,0.9,7474186,mistral
31,vnß land oder ertrich ze ſehen ward/ Was wir aber in ſo,chgebürg zwen Monet vn̄ drig tag schyfften wir ee das,0.8,0.9166666666666666,0.9166666666666666,7474186,mistral
32,licher willde des Mers/ gelitten haben/ vnd was ſorgkli¬,vns land oder ertrich ze sehen ward / Was wir aber in so,0.75,1.4444444444444444,1.4444444444444444,7474186,mistral
33,A ii,licher wilde des ¬ſſers / gelitten haben / vnd was sorgtliſ,14.0,5.5,5.5,7474186,mistral
