line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,Of Semi-public Offences in General.,Of Semi-public Offences in General,0.02857142857142857,0.2,0.2,071133003,mistral
2,persons or destroys the property of particular individuals among the,persons or destroys the property of particular individuals among the,0.0,0.0,0.0,071133003,mistral
3,Uws he may be not only punished crimenally for the calumny,Jews he may be not only punished criminally for the calumny,0.05172413793103448,0.18181818181818182,0.18181818181818182,071133003,mistral
4,"thrown on the Sect, but made civilly responsible for the particular","Thrown on the Sect, but made civilly responsible for the particular",0.014925373134328358,0.09090909090909091,0.09090909090909091,071133003,mistral
5,mischief done to the individual I ews whose persons or property,mischief done to the individual Servs whose persons or property,0.06349206349206349,0.18181818181818182,0.18181818181818182,071133003,mistral
6,were thus attached.,were thus attached.,0.0,0.0,0.0,071133003,mistral
7,"As to any farther particulars relative to this head, they","As to any farther particulars relative to this head, they",0.0,0.0,0.0,071133003,mistral
8,of men,of men,0.0,0.0,0.0,071133003,mistral
9,must depend upon the particular class in question. They are therefore,must defend upon the particular class in question. They are therefore,0.014492753623188406,0.09090909090909091,0.09090909090909091,071133003,mistral
10,stand,stand,0.0,0.0,0.0,071133003,mistral
11,of a local nature; and are without the limits of the present under,of a local nature; and can not without the limits of the present work,0.16666666666666666,0.23076923076923078,0.23076923076923078,071133003,mistral
12,taking work.,things worth.,0.4166666666666667,1.0,1.0,071133003,mistral
