line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,It glucklicher fart Am vier,It glucklicher fart Flm vier,0.07407407407407407,0.2,0.2,7474186,mistral
2,zehenden tag des monats Mayen/ Tu¬,zehenden tag des monats Mayen/ Tuͤ,0.029411764705882353,0.16666666666666666,0.16666666666666666,7474186,mistral
3,ſent fünffhūdert eyn Iars/ ſchieden wir,sent funffhūdert eyn Jars/ ſchieden wir,0.07692307692307693,0.5,0.5,7474186,mistral
4,von Oliſpppo nach gebott des obgenan¬,von Olisippo nach gebott des obgenan̄,0.08108108108108109,0.3333333333333333,0.3333333333333333,7474186,mistral
5,ten künigs mit dryen ſchiffen zuͦ erſuͦchē,ten künigs mit dryen ſchiffen zuͦ erſuͤchen,0.07142857142857142,0.14285714285714285,0.14285714285714285,7474186,mistral
6,nuwe land gegen Auſter/ vnd tzweintzig,nuwe land gegen Auſter/ vnd tzweintzig,0.0,0.0,0.0,7474186,mistral
7,Monet on vnderlaß fuͦren wir gegen mittag der ſelben,Monet on vnderlaß füren wir gegen mittag der ſelben,0.038461538461538464,0.1111111111111111,0.1111111111111111,7474186,mistral
8,ſchiffung. vnd fart ordnung vnd wiſe iſt alſo/ Diſe ſchif,ſchiffung vnd fart ordnung vnd wiſe iſt alſo/ Diſe ſchif,0.017543859649122806,0.1,0.1,7474186,mistral
9,fung iſt geweſen durch die fortunaten Inſalen/ vor ziten,fung iſt geſeſen durch die fortunaten Inſalen/ vor ziten,0.017857142857142856,0.1111111111111111,0.1111111111111111,7474186,mistral
10,alſo genant/ Aber zuͦ dyſen werden ſy genant die inſulen,alſo genant/ Aber zů dysen werden ſy genant die inſulen,0.05357142857142857,0.2,0.2,7474186,mistral
11,magne canarie/ der groſſen Canarie/ die da ſindt im drit,magne canarie/ der groſſen Canarie/ die da ſindt im drit,0.0,0.0,0.0,7474186,mistral
12,ten Clima der ſibenfaltigē vßteilung der welt vnd am an,ten Clima der ſibenfaltige vßteilung der welt vnd am an,0.01818181818181818,0.1,0.1,7474186,mistral
13,ſtoß vnd gegē der wonhafftigē landen der ſonnē nyder¬,ſtoß vnd gegen der wonhafftige landen der ſonne nyder¬,0.07547169811320754,0.3333333333333333,0.3333333333333333,7474186,mistral
