line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,keit gottes vmbſcheyn vnß da wir diſen landen zuͦ kamē,keit gottes vmbscheyn vnß da wir diſen landen zū kamẽ,0.07407407407407407,0.3,0.3,7474188,gemini
2,den̄ vns was abgangen an holtz an waſſer/ vnnd hetten,den̄ vns was abgangen an holtz an waſſer / vnnd hetten,0.018867924528301886,0.2,0.2,7474188,gemini
3,noch wenig tag moͤgen bliben/ vnd vff dem mere vnßer,noch wenig tag mögen bliben/vnd vff dem mere vnſer,0.07692307692307693,0.4,0.4,7474188,gemini
4,leben enthalten/ Im ſie ere vnd glorig vnd danck geſagt/,leben enthalten/ Im ſie ere vnd gloria vnd danckt geſagt/,0.03571428571428571,0.2,0.2,7474188,gemini
5,Wir wurden da zerate dz wir fuͦrē nach dem begriff des,Wir wurden da zserate das wir füre nach dem begriff des,0.1111111111111111,0.2727272727272727,0.2727272727272727,7474188,gemini
6,ſtaden vn̄ des lands diſer lantſchafft gegē der Sonnen,ſtaden vn̄ des lands diſer lantſchafft gegē der Sonnen,0.0,0.1111111111111111,0.1111111111111111,7474188,gemini
7,vffgang vn̄ die anſehung ſolichs lands nyemer ze laſſen/,vſſgang von die anſehung ſolichs lands nyemer ze laſſen/,0.07142857142857142,0.2222222222222222,0.2222222222222222,7474188,gemini
8,Und zuͦ ſtundan durch fuͦren wir das/ damit wir kamē,End zu ſtundan durch füren wir das/ damit wir kamẽ,0.09615384615384616,0.4,0.4,7474188,gemini
9,zuͦ einem winckel/ da das land eyn inkere machet gegen,zů einem winckel/ Da das land eyn inkere machet gegen,0.05555555555555555,0.2,0.2,7474188,gemini
10,mittag vnd von der ſtatt da wir am erſten das land traf,mittag vnd von der ſtatt da wir am erſten das land traf,0.0,0.0,0.0,7474188,gemini
11,fen biß zuͦ diſem winckel waren by dryhundert welſcher,ſen biß zu diſem winckel waren by dryhundert welſcher,0.037037037037037035,0.2222222222222222,0.2222222222222222,7474188,gemini
12,mile/ vnd in zyt dißer ſchiffung ſind wir zuͦ dickern̄ malē,male/vnd in zyt dißer ſchiffung ſind wir zů dickern malẽ,0.1016949152542373,0.45454545454545453,0.45454545454545453,7474188,gemini
