line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,cher verderbung ſchiffbruchē was liplicher vnfuͦrē wyr,cher verderbung ſchiffbruche was liplicher vnfuͤre wyr,0.05555555555555555,0.2857142857142857,0.2857142857142857,7474187,gemini
2,gelitten habē/ Und mit was angſtē vnſers gemuͤtes wir,gelitten habe/ Und mit was angſte vnsers gemuͤtes wir,0.05660377358490566,0.3333333333333333,0.3333333333333333,7474187,gemini
3,gearbeit habē/ mein ich/ gib ich denen ze bedenckē die vß,gearbeit habe/ mein ich/ gib ich denen ze bedencke die vß,0.03508771929824561,0.18181818181818182,0.18181818181818182,7474187,gemini
4,vil dingen erfarūg wol wiſſen/ waſda ſie vngewiſſe ding,vil dingen erfarung wol wiſſen/ wasda ſie vngewiſſe ding,0.05454545454545454,0.2222222222222222,0.2222222222222222,7474187,gemini
5,ſuͦchen/ vnnd nit wiſſen ob die ſien zuͦ erfaren/ Und das,ſuchen/ vnnd nit wiſſen ob die ſien zuͦ erfaren/ Und das,0.017543859649122806,0.09090909090909091,0.09090909090909091,7474187,gemini
6,ich mit eynem wort alle ding begriffe/ ſolt du wiſſen das,ich mit eynem wort alle ding begriffe/ ſolt du wiſſendas,0.017543859649122806,0.18181818181818182,0.18181818181818182,7474187,gemini
7,in Sechtzig tagen vnnd ſiben tagen die wir ſchiffeten,in Sechtzig tagen vnnd ſiben tagen die wir ſchiffeten,0.0,0.0,0.0,7474187,gemini
8,vier vnd viertzig tag on vnderlaß an einander gehept ha,vier vnd viertzig tag on vnderlaß an einander gehept ha,0.0,0.0,0.0,7474187,gemini
9,ben mit regen tonnern vnd blitzgen ſo gar finſter dz wir,ben mit regen tonnern vnd blitzgen ſo gar finſter dz wir,0.0,0.0,0.0,7474187,gemini
10,weder Sonnē im tag noch liechtē hymel in der nacht nie,weder Sonnen im tag noch liechte hymel in der nacht nie,0.05555555555555555,0.18181818181818182,0.18181818181818182,7474187,gemini
11,geſehen haben/ Da von ſo geſchach dz vns ſolicher groſ¬,geſehen haben/ Da von ſo geſchach dz vns ſolicher gros,0.03636363636363636,0.1,0.1,7474187,gemini
12,ſer ſchrecken infiel dz wir gar nach alle hoffnung vnſers,ſer ſchrecken infiel dz wir gar nach alle hoffnung vnsers,0.017543859649122806,0.1,0.1,7474187,gemini
13,lebens hinwurffen/ In ſoͤlichen angſten dennoch vn̄ ſo,lebens hinwurffen/ In ſoͤlichen angſten dennoch vn ſo,0.018518518518518517,0.125,0.125,7474187,gemini
14,wüetungen des mers vnnd des hymels gefiel dem hoch,wuͤtungen des mers vnnd des hymels gefiel dem hoch,0.04,0.1111111111111111,0.1111111111111111,7474187,gemini
15,ſten gott vns ze zoigen ingewont ertrich vnnd nüw lant,ſten gott vns ze zoigen ingewont ertrich vnnd niuw lant,0.037037037037037035,0.1,0.1,7474187,gemini
16,ſchafften vnd ein vnbekante welt/ Das wir nach der ſel¬,ſchafften vnd ein vnbekante welt/ Das wir nach der ſel-,0.01818181818181818,0.1,0.1,7474187,gemini
17,ben bſehung mit ſo groſſen freiden durchgoſſen ſynd als,ben bſehung mit ſo groſſen freiden durchgoſſen ſynd als,0.0,0.0,0.0,7474187,gemini
18,yemant wol bedencken mag/ wie gewonlich denen geſchi,yemant wol bedencken mag/ wie gewonlich denen geſchi,0.0,0.0,0.0,7474187,gemini
19,cht die vß vil mengerley betrüpnüßen vnd vnfal vnd vß,cht die vß vil mengerley betrüpnuſſen vnd vnfal vnd vß,0.05660377358490566,0.1,0.1,7474187,gemini
20,widerſpeningen glück verheilet vnd funden/ vn̄ eruolgt,widerspeningen gluͤck verheilet vnd funden/ vn̄ ernolgt,0.07407407407407407,0.42857142857142855,0.42857142857142855,7474187,gemini
21,haben/ Alſo an dē Sibenden tag des monats Ouguſten,haben. Alſo an de Sibenden tag des monats Auguſten,0.06,0.3333333333333333,0.3333333333333333,7474187,gemini
22,Thuſent finffhūdert vn̄ ein ior/ In d̓ gemeltē lātſchafftē,Thuſent finffhuͤdert vn ein ior/ In 8 gemelte lantschaffte,0.1724137931034483,0.5555555555555556,0.5555555555555556,7474187,gemini
23,ſtaden vnd zuͦlendung wurffen wir die encker in/ got vn,ſtaden vnd zuͤlendung wurffen wir die encker in/ got vn,0.01818181818181818,0.1,0.1,7474187,gemini
24,ſerm herren lobſagendt mit hochzierlicher byt vnd gebet,ſerm herren lobsagendt mit hochzierlicher Byt vnd gebet,0.03636363636363636,0.25,0.25,7474187,gemini
25,vnd mit geſang eyner zierlichen meß/ Da erkanten wir,vnd mit geſang eyner zierlichen meß/ Da erkanten wir,0.0,0.0,0.0,7474187,gemini
