line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,geile vn̄ begirig ſind/ ſo legten ſy alle zucht vnd ſcham vō,geile vn̄ begirig ſind/ ſo legten ſy alle zucht vn̄ ſcham vō,0.016666666666666666,0.08333333333333333,0.08333333333333333,7474193,gemini
2,in zuͦ volbringung boͤſer dingen/ Sy leben wol hundertt,in zuͦ volbringung boͤſer dingen/ Sy leben wol hundert,0.01818181818181818,0.1111111111111111,0.1111111111111111,7474193,gemini
3,vn̄ fünffzig iar vnd werden ſelten kranck/ Und ob ſy et¬,vn̄ fünffzig iar vnd werden ſelten tranck/ Und ob ſy et/,0.03571428571428571,0.18181818181818182,0.18181818181818182,7474193,gemini
4,wen in kranckheit fallen ſo heilen ſy ſich ſelbs mit ettlithē,wen in tranckheit fallen ſo heilen ſy ſich ſelbs mit etlichē,0.04918032786885246,0.18181818181818182,0.18181818181818182,7474193,gemini
5,wurtzen der kreüter/ Diß ſind die fürmercklichſten ding,wurtzen der kreütter/ Diß ſind die ſuͤmercklichſten ding,0.07272727272727272,0.25,0.25,7474193,gemini
6,die ich by innen geſehen vnd erkant hab/ Der lufft iſt an,die ich by inen geſehen vnd erkant hab/ Der lufft iſt an,0.017543859649122806,0.08333333333333333,0.08333333333333333,7474193,gemini
7,dem ende gar geſund vnd wol temperieret vn̄ guͦt/ Und,dem ende gar geſund vnd wol temperieret vn̄ gut/ Und,0.018867924528301886,0.1,0.1,7474193,gemini
8,ſo vil ich vß yrem ſagē verſton kond vnd erkennen mocht,ſo vil ich vß yrem ſage verſtond kond vnd erkennen mochte,0.05454545454545454,0.2727272727272727,0.2727272727272727,7474193,gemini
9,ſo iſt an dem ende nyemer keyn peſtlentz oder eyniche ſie,ſo iſt an dem ende nyemer keyn peſtlentz oder eyniche ſie,0.0,0.0,0.0,7474193,gemini
10,chung die von boͤſem lufft kumpt/ Und wo ſy nit vō fre¬,chung die von boͤſem lufft kumpt/ Und wo ſy nit vō fre,0.01818181818181818,0.08333333333333333,0.08333333333333333,7474193,gemini
11,felem getzwungenē tod ſterben ſo leben ſy by langē zyten,ſelem gezwungene tod ſterben ſo leben ſy by lange zyten,0.07142857142857142,0.3,0.3,7474193,gemini
12,Ich mein das an dē ende alzeit die mittegigē wynd weyē,Ich mein das an dē ende alzeit die mitterigē wynd weyē,0.018518518518518517,0.09090909090909091,0.09090909090909091,7474193,gemini
13,vnd vorab allermeyſt den wir nennen etwan der inen al¬,vnd voraß allermeyſt den wir nennen erwan der inen al,0.05555555555555555,0.3,0.3,7474193,gemini
14,ſo iſt wie vnß der mittenechtig wind genāt. Aquilo / Sy,ſo iſt wie vnß der mittennechtig wind genāt. Aquilo/ Sy,0.03636363636363636,0.2727272727272727,0.2727272727272727,7474193,gemini
15,ſind künſtrich mit viſchen vnd viſchfahen/ Und daſſelb,ſind künſtrich mit viſchen vnd viſchfahen/ Und daſſelb,0.0,0.0,0.0,7474193,gemini
16,mer iſt voͤllig vnd von vil viſchen vnnd von allen vnd al¬,mer iſt voͤllig vnd von vil wiſchen vnnd von allen vnnd al,0.05172413793103448,0.25,0.25,7474193,gemini
17,lerley viſchen überflüſſig/ Da ſynd nit ieger vn̄ ich mein,lerley viſchen vberfluͤſſig/ Da ſynd nit ieger vn̄ ich mein,0.05172413793103448,0.1,0.1,7474193,gemini
18,ſo da ſynd vil wilder waldthieren geſchlecht vnd beſund̓,ſo da ſynd vil wilder waldthieren geſchlecht vnd beſtimb,0.07142857142857142,0.1111111111111111,0.1111111111111111,7474193,gemini
19,lowen vnd beren vnd on zall vil ſchlangen vnd anderer,lowen vnnd beren vnnd on zall vil ſchlangen vnnd anderer,0.05660377358490566,0.3,0.3,7474193,gemini
20,gruſelichen vnd vngeſtalten dieren/ Dar zu vnd als an,gruͤſelichen vnd vngeſtalten dieren/ Dar zuͦ vnd als an,0.03773584905660377,0.2222222222222222,0.2222222222222222,7474193,gemini
21,denen enden lang vnd breyt weld vnnd baum über alle,denen enden lang vnd breyt weld vnnd baum vber alle,0.0196078431372549,0.1,0.1,7474193,gemini
22,maß groß vnd ſo ſy nackend ſynd gethuͤren ſy ſich ſolich,maß groſ vnd ſo ſy nackend ſynd gethüren ſy ſich ſolich,0.05357142857142857,0.18181818181818182,0.18181818181818182,7474193,gemini
23,er dingen nit vnder ſtan on waffen/ Das ertrich diſer,er dingen nit vnder ſtan on waffen/ Das erttrich dißer,0.03773584905660377,0.2,0.2,7474193,gemini
24,landen vnnd region iſt faſt fruchtbar vnd luſtiger an¬,landen vnnd region iſt faſt fruchtbar vnd luſtiger an,0.018518518518518517,0.1111111111111111,0.1111111111111111,7474193,gemini
25,ſehung vnd von vil bergen vnd Buͦhelen vnd on zall vil,ſehung vnnd von vil bergen vnnd Buͤhelen vnnd on zall vil,0.07407407407407407,0.36363636363636365,0.36363636363636365,7474193,gemini
26,Theler vnnd mit faſt groſſen flieſſenden waſſeren/ über,theler vnnd mit faſt groſſen fließenden waſſeren/ vber,0.07272727272727272,0.375,0.375,7474193,gemini
