line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,cht bringen am kosten vnnd gesmackt lieplich vnd luͤstli¬,che bringen am koſten vnnd geſmackt lieplich vnd luͤſtli¬,0.07017543859649122,0.4444444444444444,0.4444444444444444,7474194,gemini
2,"ich vnd den menschlichen liben nutzlich vn komlich, Sa",ch vnd den menſchlichen liben nutzlich vn̄ komlich/ Da,0.09259259259259259,0.5555555555555556,0.5555555555555556,7474194,gemini
3,gegen ouch sind etlich anders wesens vnnd keyn fruchtt,gegen ouch ſind etlich anders weſens vnnd keyn frucht,0.05555555555555555,0.3333333333333333,0.3333333333333333,7474194,gemini
4,synd vnseran früchten vnd opß gleich / Sa wachßen on¬,ſynd vnſeran früchten vnd opß gleich/ Sa machſen on¬,0.09433962264150944,0.5,0.5,7474194,gemini
5,ich über alle zal vil vnd mengerley krüter gestalten vnd,ich vber alle zal vil vnd mengerley krüter geſtalten vnd,0.03571428571428571,0.2,0.2,7474194,gemini
6,wurtzen vß denen sy brot machen / vnd die allerbesten ge,wurtzen vß denen ſy brot machen/vnd die aller beſten ge,0.08928571428571429,0.5454545454545454,0.45454545454545453,7474194,gemini
7,muͤse haben sy vnnd vil samen disen vnsern samen gantz,müſſe haben ſy vnnd vil ſamen diſeñ vnſern ſamen gantz,0.16666666666666666,0.6,0.6,7474194,gemini
8,"vnglich, Sa sind onch keynerley metallen vnd geschmid",vnglich/ Da ſind ouch keynerley metallen vnd geſchmid,0.09433962264150944,0.625,0.625,7474194,gemini
9,den allein gold da von diß region vn land überfliessen wie,den allein gold da von diß region vn̄ land überfliessen wie,0.017241379310344827,0.09090909090909091,0.09090909090909091,7474194,gemini
10,wol wir des nützit mit vnß namen / In dißer ersten vnser,wol wir des nützit mit vnß namen/ In dißer erſten vnſer,0.05357142857142857,0.3333333333333333,0.3333333333333333,7474194,gemini
11,"schiffart, End das sagen vnß die inwonere vnd sprachen",ſchiffart/ Vnd das ſagen vnß die inwonere vnd ſprache,0.1111111111111111,0.4444444444444444,0.4444444444444444,7474194,gemini
12,das in der mittlisten gegne dises lands große volle sie des,das in der mittliſten gegne diſeß lands groſſe volle ſie deß,0.11864406779661017,0.45454545454545453,0.45454545454545453,7474194,gemini
13,goldes vnd von ienen verachtet vnnd fur nicht geschetzt,goldeſs vnd von ienen verachtet vnnd für nicht geſchetzt,0.05454545454545454,0.3333333333333333,0.3333333333333333,7474194,gemini
14,"werde, Spe überflüssig von edelem gesteyn, Warga¬",werde/ Sye vberflüſſig von edelem geſteyn/ Warga¬,0.14285714285714285,0.5714285714285714,0.5714285714285714,7474194,gemini
15,"eiten, Als ich dyr vor me geschryben hab, Wenn ich",eiten/ Als ich dyr vor me geſchryben hab/ Denn ich,0.08,0.4,0.4,7474194,gemini
16,wolt alle vnnd yegliche ding erzellen dye de synd vnd,wolt alle vnnd yegkliche ding erczellen dye d̊ ſynd vnd,0.07547169811320754,0.4,0.4,7474194,gemini
17,von den on zall mengerley thieren geschlecht vnnd der,von den on zall mengerley thieren geſchlecht vnnd der,0.018867924528301886,0.1111111111111111,0.1111111111111111,7474194,gemini
18,selben vile / Das were eyn ding gar zelang vnd on maß,ſelben vile/ Das were eyn ding gar zelang vnd on maß,0.03773584905660377,0.25,0.25,7474194,gemini
19,Vnd siechtliche glaub ich das vnßer plimus dem tusent¬,Vnd rechtliche glaub ich das vnſer plimus dem tuſent,0.09259259259259259,0.3333333333333333,0.3333333333333333,7474194,gemini
20,teyl nit zuͤkomen sye/ Ses volcks der Sitkusten vnd der,teyl nit zuͦkomen ſye/ Des volcks der Siſtkuſten vnd der,0.09090909090909091,0.4,0.4,7474194,gemini
21,andern voͤgelen vnnd der thyeren die in den selben lan¬,andern voͤgelen vnnd der thyeren die in den ſelben lan̄,0.03636363636363636,0.2,0.2,7474194,gemini
22,den synd mit so mengerley vnderscheydt der antlitten.,den ſynd mit ſo mengerley vnderſcheydt der antlitten.,0.05660377358490566,0.375,0.375,7474194,gemini
23,vnd frouwen das der volkomnesten lyt Waler kunst ver,vnd frouwen das der volkomneſten lyt Waler kunſt ver,0.038461538461538464,0.2222222222222222,0.2222222222222222,7474194,gemini
24,rumpt Meister Pollicletus die abzemalen erlygen müste,rumpt Meiſter Pollicletus die abzemalen erlygen müſte,0.03773584905660377,0.2857142857142857,0.2857142857142857,7474194,gemini
25,Sa synd alle boum gútds vnnd wolgeschmackes vnd,Da ſynd alle boum gůtds vnnd wolgeſchmacktes vnd,0.10638297872340426,0.5,0.5,7474194,gemini
26,bryngen alle ettwas oͤls oder solicher fuchtigkeyt / Wenn,"ßa ſyno alle dorn gnadß vnderworffen/
Bryngen alle ettwas oͤls oder ſolicher fuͤchtigkeyt/ Wẽn",0.7719298245614035,1.1111111111111112,1.1111111111111112,7474194,gemini
27,ir krafft vnnd eygenschafft vnnß bekant were zwifelen,ir krafft vnnd eygenschafft vnnß bekant were zwifelen,0.0,0.0,0.0,7474194,gemini
28,ich nit den das sye der menschen lyben zu artzenye gros,ich mit den das ſye der menſchen lyben zü artzenye groſ,0.09090909090909091,0.45454545454545453,0.45454545454545453,7474194,gemini
29,"ser heylung syn solten, vnnd onzwyselhalt ich ob der",ſer heylung ſyn ſolten/ Vnnd on zwyfel halt ich ob der,0.15384615384615385,0.7777777777777778,0.7777777777777778,7474194,gemini
30,Jrdysch Paradyß vff ertrich das der nitt ferr vonn,Irdyſch Paradyß vff ertrich das der nitt ferr vonn,0.04,0.1111111111111111,0.1111111111111111,7474194,gemini
31,"dyßer lantschaffte sye, So ir gelegenheyt als ich vor",dyßer lantſchaffe ſye/ So ir gelegenheyt als ich vor,0.07547169811320754,0.2222222222222222,0.2222222222222222,7474194,gemini
