line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,geile vn̄ begirig ſind/ ſo legten ſy alle zucht vnd ſcham vō,geile vn̄ Begirig find/ ſo legten ſy alle zucht vnd ſcham v̄,0.05,0.25,0.25,7474193,mistral
2,in zuͦ volbringung boͤſer dingen/ Sy leben wol hundertt,in ſi volbringung boͤſer dingen/ ſy leben wol hundertt,0.07272727272727272,0.2222222222222222,0.2222222222222222,7474193,mistral
3,vn̄ fünffzig iar vnd werden ſelten kranck/ Und ob ſy et¬,vn̄ fimffſig iar vnd werden ſelten kranck/ Vnd ob ſy et/,0.08928571428571429,0.2727272727272727,0.2727272727272727,7474193,mistral
4,wen in kranckheit fallen ſo heilen ſy ſich ſelbs mit ettlithē,wen in franckheit fallen ſo heilen ſy ſich ſelbs mit etlichē,0.04918032786885246,0.18181818181818182,0.18181818181818182,7474193,mistral
5,wurtzen der kreüter/ Diß ſind die fürmercklichſten ding,murſen der freüter/ Diß find die fürnermēſtlichſten ding,0.18181818181818182,0.5,0.5,7474193,mistral
6,die ich by innen geſehen vnd erkant hab/ Der lufft iſt an,die ich by inen geſehen vnd ertſant hab/ Der luft iſt an,0.07017543859649122,0.25,0.25,7474193,mistral
7,dem ende gar geſund vnd wol temperieret vn̄ guͦt/ Und,dem ende gar geſund vnd wol temperieret vn̄ gůt/ Vnd,0.05660377358490566,0.2,0.2,7474193,mistral
8,ſo vil ich vß yrem ſagē verſton kond vnd erkennen mocht,do vil ich vß yrem ſage verſtond vnd ertennen mocht,0.12727272727272726,0.45454545454545453,0.45454545454545453,7474193,mistral
9,ſo iſt an dem ende nyemer keyn peſtlentz oder eyniche ſie,do iſt an dem ende nyemer keyn peſtilentz oder eyniche ſie,0.03508771929824561,0.18181818181818182,0.18181818181818182,7474193,mistral
10,chung die von boͤſem lufft kumpt/ Und wo ſy nit vō fre¬,ebung die von boͤſem luft kump/ Vnd wo ſy nit vo fre,0.12727272727272726,0.5,0.5,7474193,mistral
11,felem getzwungenē tod ſterben ſo leben ſy by langē zyten,elem geſtwingenē tod ſterben ſo leben ſy by lange ſyten,0.10714285714285714,0.4,0.4,7474193,mistral
12,Ich mein das an dē ende alzeit die mittegigē wynd weyē,iCh mein das an dē ende alſeit die mittegigē wynd weyē,0.05555555555555555,0.2727272727272727,0.2727272727272727,7474193,mistral
13,vnd vorab allermeyſt den wir nennen etwan der inen al¬,d voaß allermeyſt den wir nennen etwan der inen ale,0.09259259259259259,0.3,0.3,7474193,mistral
14,ſo iſt wie vnß der mittenechtig wind genāt. Aquilo / Sy,do iſt wie vnß der mitternechtig wind genat. Aquilo/ ſy,0.09090909090909091,0.5454545454545454,0.5454545454545454,7474193,mistral
15,ſind künſtrich mit viſchen vnd viſchfahen/ Und daſſelb,d find künſtrich mit viſchen vnd viſchfahen/ Vnd daſſelb,0.07407407407407407,0.375,0.375,7474193,mistral
16,mer iſt voͤllig vnd von vil viſchen vnnd von allen vnd al¬,der iſt voͤllig vnd von vil viſchen vnd von allen vnd al,0.05172413793103448,0.25,0.25,7474193,mistral
17,lerley viſchen überflüſſig/ Da ſynd nit ieger vn̄ ich mein,erley viſchen uͤberfluͤßig/ Da ſynd nit ieger vn̄ ich mein,0.10344827586206896,0.2,0.2,7474193,mistral
18,ſo da ſynd vil wilder waldthieren geſchlecht vnd beſund̓,do da ſynd vil wilder waldthieren geſchlecht vnd Beſimō,0.10714285714285714,0.2222222222222222,0.2222222222222222,7474193,mistral
19,lowen vnd beren vnd on zall vil ſchlangen vnd anderer,d lowen vnd Beren vnd onſall vil ſchlangen vnd anderer,0.09433962264150944,0.4,0.3,7474193,mistral
20,gruſelichen vnd vngeſtalten dieren/ Dar zu vnd als an,gruſelichen vnd vngestalten dieren/ Darzu vnd als an,0.03773584905660377,0.3333333333333333,0.3333333333333333,7474193,mistral
21,denen enden lang vnd breyt weld vnnd baum über alle,den enden lang vnd breyt wald vn̄ Baum uͤber alle,0.1568627450980392,0.5,0.5,7474193,mistral
22,maß groß vnd ſo ſy nackend ſynd gethuͤren ſy ſich ſolich,das groß vnd ſo ſy nackend ſynd gebuͤren ſy ſich ſolich,0.07142857142857142,0.18181818181818182,0.18181818181818182,7474193,mistral
23,er dingen nit vnder ſtan on waffen/ Das ertrich diſer,et dingen nit vnder ſtan on waffen/ Daſſertrich diſer,0.05660377358490566,0.3,0.3,7474193,mistral
24,landen vnnd region iſt faſt fruchtbar vnd luſtiger an¬,dlanden vn̄ region iſt faſt fruchtbar vnd luſtiger an,0.07407407407407407,0.3333333333333333,0.3333333333333333,7474193,mistral
25,ſehung vnd von vil bergen vnd Buͦhelen vnd on zall vil,debung vnd von vil Bergen vnd Bühelen vnd onſall vil,0.12962962962962962,0.45454545454545453,0.45454545454545453,7474193,mistral
26,Theler vnnd mit faſt groſſen flieſſenden waſſeren/ über,dheler vn̄d mit faſt groſſen flieſſenden waſſeren/ uͤber,0.07272727272727272,0.375,0.375,7474193,mistral
27,flüſſig/ Und von guͦten heylſamē brunnen gefuchtet vn̄,dfluͤßig/ Vnd von guͦten heylſame Bymmen gefuͤchtet vn̄,0.2222222222222222,0.625,0.625,7474193,mistral
28,mit groſſen breytten welden vnnd dick die kum̄ vnnd,dit groſſen Breytten welden vn̄d dick die Eim vn̄,0.1568627450980392,0.5555555555555556,0.5555555555555556,7474193,mistral
29,ſchwarlich moͤgen durchgangen werden vnnd die von,dſchwarſlich moͤgen durchgangen werden vn̄d die von,0.061224489795918366,0.2857142857142857,0.2857142857142857,7474193,mistral
30,allerley willden thyeren vnderſcheid voll vnd überſetzt/,dallerley wilden thyeren vnderscheid voll vnd uͤberſeſt/,0.125,0.5714285714285714,0.5714285714285714,7474193,mistral
31,Da wachßen ſelbs on alle der lüten zuͦthon vnd arbeytt,da wachēn ſelbs on alle der luͤten ſuͤthon vn̄ arbeyt,0.16666666666666666,0.6,0.6,7474193,mistral
32,die aller groͤſten boum/ Und vnder den ſelben vil die frü,die aller groͤſten Boun/ Vnd vnder den ſelben vil die freu,0.08771929824561403,0.2727272727272727,0.2727272727272727,7474193,mistral
