line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,2.,C.,0.5,1.0,1.0,071_108_002,openai
2,Of Matrimonial Desertion.,,1.0,1.0,1.0,071_108_002,openai
3,It will be necessary to define what shall be deemed,Of Matrimonial Desertion.,0.8627450980392157,1.0,1.0,071_108_002,openai
4,"Desertion, distinguishing it from the case of lawful Absence;",,1.0,1.0,1.0,071_108_002,openai
5,and what steps shall be taken for giving notice.,It will be necessary to define what shall be deemed,0.8541666666666666,1.1111111111111112,0.7777777777777778,071_108_002,openai
6,Let certain methods be established whereby the Husband,,1.0,1.0,1.0,071_108_002,openai
7,and the Wife may be enabled and obliged to correspond with,"Desertion, distinguishing it from the case of lawful Absence;",0.9482758620689655,1.0,0.9090909090909091,071_108_002,openai
8,one another at stated intervals: and let a failure on either part,,1.0,1.0,1.0,071_108_002,openai
9,for a certain time be deemed presumptive evidence of death or,and what steps shall be taken for giving Notice.,0.7868852459016393,0.9090909090909091,0.8181818181818182,071_108_002,openai
10,desertion. Within the dominions of the state they  might be manag=,,1.0,1.0,1.0,071_108_002,openai
11,=ed in the manner mentioned in the Book of Procedure. Tit.,Let certain methods be established whereby the Husband,0.8103448275862069,0.9090909090909091,0.9090909090909091,071_108_002,openai
12,"As to foreigners, upon their coming into the country",,1.0,1.0,1.0,071_108_002,openai
13,let them be obliged to declare upon oath whether they are married,and the Wife may be enabled and obliged to correspond with,0.7538461538461538,1.0,0.75,071_108_002,openai
14,"or single; and if single whether Bachelors or Spinsters, Widowers",,1.0,1.0,1.0,071_108_002,openai
15,"or Widows. Of these declarations let Registers be kept, of which,",one another at stated intervals: and let a failure on either part,0.7538461538461538,1.0,1.0,071_108_002,openai
16,"previous to their being married, copies should be required to be",,1.0,1.0,1.0,071_108_002,openai
17,"produced. If married, certificates of the death of the Wife or",for a certain time be deemed presumptive evidence of death or,0.7419354838709677,0.9090909090909091,0.7272727272727273,071_108_002,openai
18,Husband. At present these important enquiries are left to the,,1.0,1.0,1.0,071_108_002,openai
19,uncertain prudence of individuals. The declarations above men=,desertion. Within the dominions of the state they might be arrang-,0.8064516129032258,1.25,1.25,071_108_002,openai
20,:tioned should be accompanied with some details respecting their,,1.0,1.0,1.0,071_108_002,openai
21,in,ed in the manner mentioned in the Book of Exchequer. Let,27.0,10.0,10.0,071_108_002,openai
22,"birth, parentage and last abode; such as may lead to detection",,1.0,1.0,1.0,071_108_002,openai
23,this,"As to Foreigners, upon their coming into the country",12.25,9.0,9.0,071_108_002,openai
24,C,,1.0,1.0,1.0,071_108_002,openai
