line_number,ground_truth,prediction,transkribus,cer,wer,bwer
1,ſy nie me wüſſen den̄ von den ſtetten vnd landen die ſye,ſy nie me wüſſent den von den ſtetten vnd landen die ſye,sy nit me wüssen den von den stetten vnd landen die sye,0.03571428571428571,0.16666666666666666,0.16666666666666666
2,offt vn̄ dick bygeſchiffet vn̄ erfaren hatten/ Und als vns,offt vn̄ dick by geſchiffet vn̄ erſaren hatten/Und als vn̄,offt vn dick bygeschiffet vn erfaren hatten. Und als vns,0.06896551724137931,0.6,0.5
3,an dem ende der egemelt wynckel eyn krūme erzoͤigt des,an dem ende der eynckel eyn krumme erzeigt des,an dem ende der egemelt wynckel eyn krůme erzoͤigt des,0.2222222222222222,0.4,0.4
4,landſtaden gegen mittag wurden wür eyns ſolichs für¬,landſtaden gegen mittag wurden wir eyns ſolichs für,landstaden gegen mittag wurden wir eyns solichs für¬,0.038461538461538464,0.25,0.25
5,faren vnd ze erkunden was in den ſelben groſſen landen,faren vnd ze erkun̄den was in den selben grossen landen,faren vnd ze erkunden was in den selben grossen landen,0.07407407407407407,0.3,0.3
6,were/ Und ſchifften alſo nach dem ſtaden by Sechſhun,were/ Und schiffen alſo nach dem ſtaden by Sechſſun,were  Und schifften also nach dem staden by Sechshun,0.057692307692307696,0.2222222222222222,0.2222222222222222
7,dert mylen wegs vnd zuͦm dickern̄ mal/ kamen wür vnd,dert mylen wegs vnd zinn dickeͤn mal/ſamen wuͤr vnd,dert mylen wegs vnd zuͤm dickern mal/ kamen wijr vnd,0.17307692307692307,0.5,0.5
8,giengen zelande beſprachtē vnd beredten wir vn̄ bewon,giengen zelande besprache vnd bereden wir vñ bevoln,giengen zelande besprachten vnd beredten wir vn bewon,0.1509433962264151,0.5,0.5
9,ten mit den inwonern̄ vnd lantſlüten der ſelben regionē,ten mit den inwonern vnd lanſſütten der ſelben regionē,ten mit den inwonern vnd lantsluten der selben regionen,0.07272727272727272,0.2222222222222222,0.2222222222222222
10,vnd wurden guͤtlich vnd bruͤderlich von inen empfangē,vnd wurden gůtlich vnd brůderlich von inen empfaͤngē,vnd wurden guͤtlich vnd bruͤderlich von inen empfangen,0.09433962264150944,0.375,0.375
