line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,sy nit me wüssen den von den stetten vnd landen die sye,,1.0,1.0,1.0,7474189,gemini
2,offt vn dick bygeschiffet vn erfaren hatten. Und als vns,,1.0,1.0,1.0,7474189,gemini
3,an dem ende der egemelt wynckel eyn krůme erzoͤigt des,,1.0,1.0,1.0,7474189,gemini
4,landstaden gegen mittag wurden wir eyns solichs für¬,,1.0,1.0,1.0,7474189,gemini
5,faren vnd ze erkunden was in den selben grossen landen,,1.0,1.0,1.0,7474189,gemini
6,"were, Und schifften also nach dem staden by Sechshun",,1.0,1.0,1.0,7474189,gemini
7,dert mylen wegs vnd zuͤm dickern mal/ kamen wijr vnd,,1.0,1.0,1.0,7474189,gemini
8,giengen zelande besprachten vnd beredten wir vn bewon,,1.0,1.0,1.0,7474189,gemini
9,ten mit den inwonern vnd lantsluten der selben regionen,,1.0,1.0,1.0,7474189,gemini
10,vnd wurden guͤtlich vnd bruͤderlich von inen empfangen,,1.0,1.0,1.0,7474189,gemini
11,vnd blyben etwan dick funffzehen oder zweintzig tag by,,1.0,1.0,1.0,7474189,gemini
12,ienen stets vn̄ fruntlich als liebe geste mit ynen redende,,1.0,1.0,1.0,7474189,gemini
13,als du harnach vermercken würst/ ye doch so ist diser be,,1.0,1.0,1.0,7474189,gemini
14,wonten lantschafft teyl in der krummen schnuͤr Sorrida,,1.0,1.0,1.0,7474189,gemini
15,sona innerthalb der lanien equinoctialem gege de hymel,,1.0,1.0,1.0,7474189,gemini
16,gegent Antarticus den sin anfang hept an im achte grad,,1.0,1.0,1.0,7474189,gemini
17,über die equinoctial / Nach disem landsstaden schiffeten,,1.0,1.0,1.0,7474189,gemini
18,wir so lang das wir über vnd für fiͤren des Steinbocks,,1.0,1.0,1.0,7474189,gemini
19,Tropicum vnd funden den gegen sibengestirnigen hy¬,,1.0,1.0,1.0,7474189,gemini
20,mel den wir nemen den herwagen vnd zu latin polus an,,1.0,1.0,1.0,7474189,gemini
21,tarticus genampt wirt / An dem selben item hymels anse,,1.0,1.0,1.0,7474189,gemini
22,chung im vmbkreiß orison genant den selben ieren hymel,,1.0,1.0,1.0,7474189,gemini
23,"funden wir wol fünfftzig graden oder staffel höher, Wir",,1.0,1.0,1.0,7474189,gemini
24,waren ouch neher oder daby ꝺes Antartiens zirckel by,,1.0,1.0,1.0,7474189,gemini
25,Sibenzehen graden semis / Was ich da gesehen vnd er¬,,1.0,1.0,1.0,7474189,gemini
26,kent hab von natur vnd wesen der selben litten vnd von,,1.0,1.0,1.0,7474189,gemini
27,ieren wisen vnnd sytten gelichnikkeit vnnnd schicklikeytt,,1.0,1.0,1.0,7474189,gemini
28,von fruchtbarkeit des ertrichs von heilsamikeyt des luffts,,1.0,1.0,1.0,7474189,gemini
29,Von gestalt vnd schickung des hymels vnd der hymeli¬,,1.0,1.0,1.0,7474189,gemini
30,schen liben End allermeyst von den vnbeweglichen ver,,1.0,1.0,1.0,7474189,gemini
31,hafften sternen / der achten spere so von vnßern vorfaren,,1.0,1.0,1.0,7474189,gemini
