line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,2.,2.,0.0,0.0,0.0,071111002,openai
2,Of Family Imposture.,C,1.0,1.0,1.0,071111002,openai
3,pretended mother was or was not privy to the Imposture.,Of Family Imposture.,0.7272727272727273,0.9,0.9,071111002,openai
4,4. But if any one bring up a child begotten of a married Woman,pretended mother was or was not privy to the Imposture.,0.8548387096774194,1.0,1.0,071111002,openai
5,"during the continuance of the marriage by and Adulterer, as if it",4. But if any one bring up a child begotten of a married Woman,0.8307692307692308,1.1666666666666667,1.0,071111002,openai
6,"were the child of the Husband, this is not Family Imposture.",,1.0,1.0,1.0,071111002,openai
7,Punishment.,"during the continuance of the marriage by an adulterer, as if it",5.090909090909091,12.0,12.0,071111002,openai
8,For Family Imposture the Punishment of an Impostor,"were the child of the Husband, this is not Family Imposture.",0.82,1.25,1.0,071111002,openai
9,himself shall be as follows.,Punishment.,0.8571428571428571,1.0,1.0,071111002,openai
10,1. He shall be punished ignominiously and afflictively with the,For Family Imposture the Punishment of an Impostor,0.7936507936507936,1.0,0.9,071111002,openai
11,Impostor's Mask. See [Punishments],himself shall be as follows.,0.7941176470588235,1.25,1.25,071111002,openai
12,2. He shall be imprisoned or confined to hard Labour for Life.,1. He shall be punished ignominiously and afflictively with the,0.6451612903225806,0.75,0.75,071111002,openai
13,The Punishment of a Suborner shall be as follows:,Impostor's Mask. See [Punishments],0.8571428571428571,1.0,1.0,071111002,openai
14,1. He shall be ignominiously connected with an Impostor or the Effig-,2. He shall be imprisoned or confined to hard Labour for Life.,0.5652173913043478,0.75,0.6666666666666666,071111002,openai
15,-y of an Impostor.,(A),1.0,1.0,1.0,071111002,openai
16,2. He shall be imprisoned or confined to hard Labour for Life.,The Punishment of a Suborner shall be as follows.,0.7419354838709677,1.0,0.8333333333333334,071111002,openai
17,Exposition,1. He shall be ignominiously connected with an Impostor or the Effe-,6.3,12.0,12.0,071111002,openai
18,"[(A) Suborner] There may be a suborner of imposture, where there is no",ct of an Impostor.,0.8285714285714286,0.9230769230769231,0.9230769230769231,071111002,openai
19,impostor: the party falsely pretended to possess the character in question,2. He shall be imprisoned or confined to hard Labour for Life.,0.7432432432432432,1.0909090909090908,1.0,071111002,openai
20,not knowing but he is intitled to it; for instance in the case of a suppo=,Exposition,0.9054054054054054,1.0,1.0,071111002,openai
21,:ssitious Child. Excuses,"[A] Suborner These may be a suborner of imposture, where there is no",2.5,4.333333333333333,4.333333333333333,071111002,openai
22,(A),impostor: the party falsely pretended to possess the character in question,24.666666666666668,11.0,11.0,071111002,openai
23,C,not knowing but he is intitled to it: for instance in the case of a suppo-,74.0,16.0,16.0,071111002,openai
