line_number,ground_truth,transcription,cer,wer,document_id,method
1,keit gottes vmbſcheyn vnß da wir diſen landen zuͦ kamē,keit gottes vmbscheyn vnß da wir disen landen zū kamē,0.07407407407407407,0.4,7474188,gemini
2,den̄ vns was abgangen an holtz an waſſer/ vnnd hetten,den̄ vns was abgangen an holtz an waſſer / vnnd hetten,0.018867924528301886,0.2,7474188,gemini
3,noch wenig tag moͤgen bliben/ vnd vff dem mere vnßer,noch wenig tag moͤgen bliben/ vnd vff dem mere vnßer,0.0,0.0,7474188,gemini
4,leben enthalten/ Im ſie ere vnd glorig vnd danck geſagt/,leben enthalten/ Im ſie ere vnd gloria vnd danck gesagt/,0.03571428571428571,0.2,7474188,gemini
5,Wir wurden da zerate dz wir fuͦrē nach dem begriff des,Wir wurden da zerate das wir füren nach dem begriff des,0.1111111111111111,0.18181818181818182,7474188,gemini
6,ſtaden vn̄ des lands diſer lantſchafft gegē der Sonnen,ſtaden vn̄ des lands diſer lantschafft gegen der Sonnen,0.05555555555555555,0.2222222222222222,7474188,gemini
7,vffgang vn̄ die anſehung ſolichs lands nyemer ze laſſen/,vffgang vn die ansehung ſolichs lands nyemer ze laſſen.,0.05357142857142857,0.3333333333333333,7474188,gemini
8,Und zuͦ ſtundan durch fuͦren wir das/ damit wir kamē,End zu ſtundan durch füren wir das/ damit wir kamē,0.07692307692307693,0.4,7474188,gemini
9,zuͦ einem winckel/ da das land eyn inkere machet gegen,zu einem winckel/ da das land eyn inkere machet gegen,0.018518518518518517,0.1,7474188,gemini
10,mittag vnd von der ſtatt da wir am erſten das land traf,mittag vnd von der ſtatt da wir am erſten das land traf,0.0,0.0,7474188,gemini
11,fen biß zuͦ diſem winckel waren by dryhundert welſcher,fen biß zu diſem winckel waren by dryhundert welſcher,0.018518518518518517,0.1111111111111111,7474188,gemini
12,mile/ vnd in zyt dißer ſchiffung ſind wir zuͦ dickern̄ malē,male/vnd in zyt dißer ſchiffung ſind wir zu dickern male,0.0847457627118644,0.45454545454545453,7474188,gemini
13,zuͦ land gefaren vnd haben früntlich geſprech vnnd wan,zů land gefaren vnd haben fruntlich geſprech vnnd wan,0.05555555555555555,0.2222222222222222,7474188,gemini
14,del mit dem ſelben volck gehept als du hienach vernemen,del mit dem ſelben volck gehept als du hienach vernemen,0.0,0.0,7474188,gemini
15,wirdeſt/ Mir was vergeſſen dir ze ſchriben das von dem,wirdest/ Mir was vergeſſen dir ze ſchriben das von dem,0.018518518518518517,0.1,7474188,gemini
16,hochgebirg des grünē houpts biß zuͦ anfang diſer bewo¬,hochgebirg des grüne houpts biß zu anfang diser bewon¬,0.07407407407407407,0.4444444444444444,7474188,gemini
17,den landtſchafft ſind by Sibenhundert welſcher milen,den landtschafft ſind by Sibenhundert welſcher múlen,0.038461538461538464,0.2857142857142857,7474188,gemini
18,Wie wol ich meyn das wir me den̄ Tuſent vn̄ achthun¬,Wie wol ich meyn das wir me den Luſent vn achthun¬,0.057692307692307696,0.2727272727272727,7474188,gemini
19,dert mile gefaren ſo von vnwiſſenheyt d̓ ſtetten vn̄ ſchiff¬,dert mile gefaren ſo von vnwissenheyt ſtætten vn̄ ſchiff¬,0.1,0.3,7474188,gemini
20,meiſters ſo von vngewitter vnd von winden verhindert,meisters ſo von vngewitter vnd von winden verhindert,0.019230769230769232,0.125,7474188,gemini
21,die vnßern ſchlechten weg widertriben zuͦ ſtetten vnd vil,die vnſern ſchlechten weg widertriben zü ſtettē vnd vil,0.08771929824561403,0.3333333333333333,7474188,gemini
