line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,cht bringen am koſten vnnd geſmackt lieplich vnd luͦſtli¬,cht bringen am kosten vnnd gesmackt lieplich vnd luͤstli¬,0.07017543859649122,0.3333333333333333,0.3333333333333333,7474194,transkribus
2,ch vnd den menſchlichen liben nützlich vn̄ komlich/ Da,"ich vnd den menschlichen liben nutzlich vn komlich, Sa",0.1111111111111111,0.6666666666666666,0.6666666666666666,7474194,transkribus
3,gegen ouch ſind etlich anders weſens vnnd keyn fruchtt,gegen ouch sind etlich anders wesens vnnd keyn fruchtt,0.037037037037037035,0.2222222222222222,0.2222222222222222,7474194,transkribus
4,ſynd vnſeran früchten vnd opß gleich/ Da wachßen ou¬,synd vnseran früchten vnd opß gleich / Sa wachßen on¬,0.09615384615384616,0.6666666666666666,0.6666666666666666,7474194,transkribus
5,ch über alle zal vil vnd mengerley krüter geſtalten vnd,ich über alle zal vil vnd mengerley krüter gestalten vnd,0.03636363636363636,0.2,0.2,7474194,transkribus
6,wurtzen vß denen ſy brot machen/ vnd die aller beſten ge,wurtzen vß denen sy brot machen / vnd die allerbesten ge,0.07142857142857142,0.45454545454545453,0.36363636363636365,7474194,transkribus
7,muͤſe haben ſy vnnd vil ſamen diſen vnſern ſamen gantz,muͤse haben sy vnnd vil samen disen vnsern samen gantz,0.1111111111111111,0.6,0.6,7474194,transkribus
8,vnglich/ Da ſind ouch keynerley metallen vnd geſchmid,"vnglich, Sa sind onch keynerley metallen vnd geschmid",0.09433962264150944,0.625,0.625,7474194,transkribus
9,den̄ allein gold da vō diß region vn̄ land überflieſſen wie,den allein gold da von diß region vn land überfliessen wie,0.1016949152542373,0.36363636363636365,0.36363636363636365,7474194,transkribus
10,wol wir des nützit mit vnß namen/ In dißer erſten vnſer,wol wir des nützit mit vnß namen / In dißer ersten vnser,0.05454545454545454,0.36363636363636365,0.36363636363636365,7474194,transkribus
11,ſchiffart/ Und das ſagen vnß die inwonere vnd ſprachē,"schiffart, End das sagen vnß die inwonere vnd sprachen",0.1320754716981132,0.4444444444444444,0.4444444444444444,7474194,transkribus
12,das in der mittliſten gegne diſes lands große volle ſie deſ,das in der mittlisten gegne dises lands große volle sie des,0.06779661016949153,0.36363636363636365,0.36363636363636365,7474194,transkribus
13,goldes vnd von ienen verachtet vnnd für nicht geſchetzt,goldes vnd von ienen verachtet vnnd fur nicht geschetzt,0.03636363636363636,0.2222222222222222,0.2222222222222222,7474194,transkribus
14,werde/ Sye überflüſſig von edelem geſteyn/ Marga¬,"werde, Spe überflüssig von edelem gesteyn, Warga¬",0.14285714285714285,0.7142857142857143,0.7142857142857143,7474194,transkribus
15,eiten/ Als ich dyr vor me geſchryben hab/ Wenn ich,"eiten, Als ich dyr vor me geschryben hab, Wenn ich",0.06,0.3,0.3,7474194,transkribus
16,wolt alle vnnd yegliche ding erzellen dye da ſynd vnd,wolt alle vnnd yegliche ding erzellen dye de synd vnd,0.03773584905660377,0.2,0.2,7474194,transkribus
17,von den on zall mengerley thieren geſchlecht vnnd der,von den on zall mengerley thieren geschlecht vnnd der,0.018867924528301886,0.1111111111111111,0.1111111111111111,7474194,transkribus
18,ſelben vile/ Das were eyn ding gar zelang vnd on maß,selben vile / Das were eyn ding gar zelang vnd on maß,0.038461538461538464,0.2727272727272727,0.2727272727272727,7474194,transkribus
19,Und ſlechtliche glaub ich das vnßer plimus dem tuſent¬,Vnd siechtliche glaub ich das vnßer plimus dem tusent¬,0.07407407407407407,0.3333333333333333,0.3333333333333333,7474194,transkribus
20,teyl nit zuͦkomen ſye/ Des volcks der Sitkuſten vnd der,teyl nit zuͤkomen sye/ Ses volcks der Sitkusten vnd der,0.07272727272727272,0.4,0.4,7474194,transkribus
21,andern voͤgelen vnnd der thyeren die in den ſelben lan¬,andern voͤgelen vnnd der thyeren die in den selben lan¬,0.01818181818181818,0.1,0.1,7474194,transkribus
22,den ſynd Mit ſo mengerley vnderſcheydt der antlitten,den synd mit so mengerley vnderscheydt der antlitten.,0.09615384615384616,0.625,0.625,7474194,transkribus
23,vnd frouwen das der volkomneſten lyt Maler kunſt ver,vnd frouwen das der volkomnesten lyt Waler kunst ver,0.057692307692307696,0.3333333333333333,0.3333333333333333,7474194,transkribus
24,rumpt Meiſter Pollicletus die abzemalē erlygen müſte,rumpt Meister Pollicletus die abzemalen erlygen müste,0.07692307692307693,0.42857142857142855,0.42857142857142855,7474194,transkribus
25,Da ſynd alle boum guͦtds vnnd wolgeſchmackes vnd,Sa synd alle boum gútds vnnd wolgeschmackes vnd,0.10416666666666667,0.5,0.5,7474194,transkribus
26,bryngen alle ettwas oͤls oder ſolicher füchtigkeyt/ Wen̄,bryngen alle ettwas oͤls oder solicher fuchtigkeyt / Wenn,0.07142857142857142,0.5,0.5,7474194,transkribus
27,ir krafft vnnd eygenſchafft vnnß bekant were zwifelen,ir krafft vnnd eygenschafft vnnß bekant were zwifelen,0.018867924528301886,0.125,0.125,7474194,transkribus
28,ich nit den das ſye der menſchen lyben zuͦ artzenye groſ,ich nit den das sye der menschen lyben zu artzenye gros,0.07142857142857142,0.36363636363636365,0.36363636363636365,7474194,transkribus
29,ſer heylung ſyn ſolten/ Unnd on zwyfel halt ich ob der,"ser heylung syn solten, vnnd onzwyselhalt ich ob der",0.14814814814814814,0.6363636363636364,0.6363636363636364,7474194,transkribus
30,Irdyſch Paradyß vff erttrich das der nitt ferr vonn,Jrdysch Paradyß vff ertrich das der nitt ferr vonn,0.058823529411764705,0.2222222222222222,0.2222222222222222,7474194,transkribus
31,dyßer lanttſchaffte ſye/ So ir gelegenheyt als ich vor,"dyßer lantschaffte sye, So ir gelegenheyt als ich vor",0.07407407407407407,0.2222222222222222,0.2222222222222222,7474194,transkribus
