line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,2.,,1.0,1.0,1.0,071111002,gemini
2,Of Family Imposture.,of Family Imposture.,0.05,0.3333333333333333,0.3333333333333333,071111002,gemini
3,pretended mother was or was not privy to the Imposture.,pretended mother was or was not privy to the Imposture.,0.0,0.0,0.0,071111002,gemini
4,4. But if any one bring up a child begotten of a married Woman,4. But if any one bring up a child begotten of a married Woman,0.0,0.0,0.0,071111002,gemini
5,"during the continuance of the marriage by and Adulterer, as if it","during the continuance of the marriage by an adulterer, as if it",0.03076923076923077,0.16666666666666666,0.16666666666666666,071111002,gemini
6,"were the child of the Husband, this is not Family Imposture.","were the child of the Husband, this is not Family Imposture.",0.0,0.0,0.0,071111002,gemini
7,Punishment.,Punishment.,0.0,0.0,0.0,071111002,gemini
8,For Family Imposture the Punishment of an Impostor,For Family Imposture the Punishment of an Impostor,0.0,0.0,0.0,071111002,gemini
9,himself shall be as follows.,himself shall be as follows.,0.0,0.0,0.0,071111002,gemini
10,1. He shall be punished ignominiously and afflictively with the,1. He shall be punished ignominiously and affectively with the,0.031746031746031744,0.1,0.1,071111002,gemini
11,Impostor's Mask. See [Punishments],Impostor's Mask. See [Punishments],0.0,0.0,0.0,071111002,gemini
12,2. He shall be imprisoned or confined to hard Labour for Life.,,1.0,1.0,1.0,071111002,gemini
13,The Punishment of a Suborner shall be as follows:,The Punishment of a Suborner shall be as follows: (A),0.08163265306122448,0.1111111111111111,0.1111111111111111,071111002,gemini
14,1. He shall be ignominiously connected with an Impostor or the Effig-,1. He shall be ignominiously connected with an Impostor or the Effici.,0.043478260869565216,0.08333333333333333,0.08333333333333333,071111002,gemini
15,-y of an Impostor.,=gy of an Impostor.,0.1111111111111111,0.25,0.25,071111002,gemini
16,2. He shall be imprisoned or confined to hard Labour for Life.,2. He shall be imprisoned or confined to hard Labour for life.,0.016129032258064516,0.08333333333333333,0.08333333333333333,071111002,gemini
17,Exposition,Exposition,0.0,0.0,0.0,071111002,gemini
18,"[(A) Suborner] There may be a suborner of imposture, where there is no","[A/ Suborner] There may be a suborner of imposture, where there is no.",0.04285714285714286,0.15384615384615385,0.15384615384615385,071111002,gemini
19,impostor: the party falsely pretended to possess the character in question,impostor: the party falsely pretended to possess the character in question.,0.013513513513513514,0.09090909090909091,0.09090909090909091,071111002,gemini
20,not knowing but he is intitled to it; for instance in the case of a suppo=,not knowing but he is intitled to it; for instance in the case of a suppo,0.013513513513513514,0.0625,0.0625,071111002,gemini
21,:ssitious Child. Excuses,Excuses,0.7083333333333334,0.6666666666666666,0.6666666666666666,071111002,gemini
22,(A),,1.0,1.0,1.0,071111002,gemini
23,C,,1.0,1.0,1.0,071111002,gemini
