line_number,ground_truth,transcription,cer,wer,bwer,document_id,method
1,ſy nie me wüſſen den̄ von den ſtetten vnd landen die ſye,ſy nit me wüſſen den̄ von den ſtetten vnd landen die ſye,0.017857142857142856,0.08333333333333333,0.08333333333333333,7474189,openai
2,offt vn̄ dick bygeſchiffet vn̄ erfaren hatten/ Und als vns,offt vn̄ dick bygeſchiffet vn̄ erfaren hatten/ Und als vnſ,0.017241379310344827,0.1,0.1,7474189,openai
3,an dem ende der egemelt wynckel eyn krūme erzoͤigt des,an dem ende der egemelt wynckel eyn krůme erzoͤigt des,0.018518518518518517,0.1,0.1,7474189,openai
4,landſtaden gegen mittag wurden wür eyns ſolichs für¬,landſtaden gegen mittag wurden wir eyns ſolichs für,0.038461538461538464,0.25,0.25,7474189,openai
5,faren vnd ze erkunden was in den ſelben groſſen landen,faren vnd ze erkunden was in den ſelben groſſen landen,0.0,0.0,0.0,7474189,openai
6,were/ Und ſchifften alſo nach dem ſtaden by Sechſhun,were/ Und ſchifften alſo nach dem ſtaden by Sechſhun,0.0,0.0,0.0,7474189,openai
7,dert mylen wegs vnd zuͦm dickern̄ mal/ kamen wür vnd,dert mylen wegs vnd zũm dickern mal/ kamen wir vnd,0.07692307692307693,0.3,0.3,7474189,openai
8,giengen zelande beſprachtē vnd beredten wir vn̄ bewon,giengen zelande beſprachtten vnd beredten wir vn̄ bewon,0.05660377358490566,0.125,0.125,7474189,openai
9,ten mit den inwonern̄ vnd lantſlüten der ſelben regionē,ten mit den̄ inwonern vnd lantſlůten der ſelben regionē,0.05454545454545454,0.3333333333333333,0.3333333333333333,7474189,openai
10,vnd wurden guͤtlich vnd bruͤderlich von inen empfangē,vnd wurden gütlich vnd brüderlich von inen empfangen,0.11320754716981132,0.375,0.375,7474189,openai
11,vnd blyben etwan dick fünffzehen oder zweintzig tag by,vnd blyben etwan dick fünffzehen oder zweyntzig tag by,0.018518518518518517,0.1111111111111111,0.1111111111111111,7474189,openai
12,ienen ſtets vn̄ früntlich als liebe geſte mit ynen redende,ienen ſtets vn̄ früntlich als liebe geſte mit ynen redende,0.0,0.0,0.0,7474189,openai
13,als du harnach vermercken würſt/ ye doch ſo iſt diſer be,als du harnach vermercken würſt/ye doch ſo iſt diſer be,0.017857142857142856,0.18181818181818182,0.18181818181818182,7474189,openai
14,wonten lantſchafft teyl in der krummen ſchnuͦr Dorrida,wonten lantſchafft teyl in der krummen ſchnuͤr Sorrida,0.037037037037037035,0.25,0.25,7474189,openai
15,zona innerthalb der lynien equinoctialem gegē dē hymel,zona innerthalb der lynien equinoctialem gege de hymel,0.037037037037037035,0.25,0.25,7474189,openai
16,gegent Antarticuſ den ſin anfang hept an im achtē grad,gegent Anarticus den̄ ſin anfang hept an im achtē grad,0.05555555555555555,0.3,0.3,7474189,openai
17,über die equinoctial/ Nach diſem landſſtaden ſchiffeten,über die equinoctial / Nach disem landſtaden ſchiffeten,0.05454545454545454,0.5714285714285714,0.5714285714285714,7474189,openai
